words,meanings,sets
abound,large numbers or amounts,1
amorphous,without a clearly defined shape or form,1
"ascetic, austere, exacting, exigent, fastidious, spartan, stern","austerity or lack of comfort or luxury/ harsh/ hard/ frugal; demanding/ inflict (revenge) on someone; pressing, demanding; serious, strict and severe; severe self-discipline, austere; strict in manner, having no comforts or luxuries; very attentive and concerned about accuracy and detail","1, 10, 11, 14, 27, 3, 7"
belie,"fail to give true impression of something, contradict, fail to justify",1
"capricious, whimsical","playfully fanciful/ acting in a capricious manner; sudden change of mood, unpredictable, fickle","1, 25"
cerebral,"of the cerebrum of the brain, intellectual rather than physical",1
congenial,pleasant or agreeable because suited to one's taste,1
conspicuous,"clearly visible, attracting notice or attention",1
"cursory, perfunctory","carried out without real interest, feeling/ desultory; hasty and therefore not through or detailed","1, 11"
daunting,"difficult to deal with, discourage through fear",1
deify,worship or regard as a god,1
didactic,"instructive, particularly so as to appear patronizing",1
"diffuse, disseminate, propagate","reproduce / spread or promote; spread out/ lacking clarity or conciseness, verbose; spread widely","1, 13, 23"
"feasible, viable",capable of working successfully feasible; possible to do easily or conveniently,"1, 19"
flout,"openly disregard, mock, scoff",1
homogeneous,of the same kind,1
"humdrum, monotonous, pedestrian, prosaic","dull, tedious, lacking in variety; lacking excitement or variety; boringly monotonous; lacking excitement, dull/ walking rather than vehicle; lacking originality, commonplace, unromantic","1, 16, 19, 5"
"insipid, vapid","offering nothing that is stimulating or challenging/ bland; tasteless, lacking interest","1, 8"
"garrulous, loquacious","excessively talkative, especially on trivial matters; talkative","1, 4"
misanthropic,having or showing dislike of other people,1
misnomer,a wrong or inaccurate name or designation,1
negligent,failing to take proper care over something,1
obsequious,obedient to an excessive or servile degree,1
"alleviate, appease, assuage, mollify, placate, temper","act as a neutralizing or counterbalancing force to something; appease the anger or anxiety/ reduce the severity; make less angry; make suffering less severe; pacify or placate, assuage or satisfy; satisfy, make an unpleasant feeling less intense","1, 22, 23, 3, 6, 7"
"proclivity, propensity",a tendency to choose or do something regularly; natural tendency to behave in a particular way,"1, 22"
puerile,childishly silly,1
quixotic,"extremely idealistic, unrealistic, impractical",1
"extravagant, libertine, prodigal, profligate, spendthrift","a person who freely indulges in sensual pleasures without moral principles; a person who spends money in an irresponsible way; excessive, elaborate; spending money recklessly; wasteful in the use of resources/ licentious, dissolute","1, 16, 20, 3, 5"
taciturn,saying little,1
wary,feeling or showing caution about possible dangers,1
adulterate,render poorer in quality by adding another substance,2
advocate,publicly recommend or support,2
"aggrandize, embellish","decorate/ make more interesting by adding extra details; increase power, status, reputation of someone","2, 22"
alacrity,brisk and cheerful readiness,2
ambivalent,having mixed feelings or contradictory ideas,2
